EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	23:37:37	0	0.1000	4.462952416096258	3.2048540115356445	0.7125	0.4815	0.5747
1	23:44:04	0	0.1000	2.9893936097075087	2.545464277267456	0.6815	0.5549	0.6117
2	23:50:32	0	0.1000	2.7055096201940416	2.3575310707092285	0.6839	0.6748	0.6793
3	23:57:01	1	0.1000	2.507532728374551	2.351937770843506	0.7579	0.6087	0.6752
4	00:03:23	0	0.1000	2.3533038490409153	2.1884217262268066	0.7411	0.6725	0.7051
5	00:09:02	0	0.1000	2.2539047222618662	2.134519100189209	0.7295	0.7059	0.7175
6	00:13:05	0	0.1000	2.1656136487602096	2.1021597385406494	0.7423	0.716	0.7289
7	00:19:00	1	0.1000	2.081221314417113	2.2054829597473145	0.7983	0.6239	0.7004
8	00:25:08	2	0.1000	2.048529169756338	2.090147018432617	0.7026	0.7567	0.7286
9	00:29:53	3	0.1000	1.9757694449993448	2.127216339111328	0.7753	0.6702	0.7189
10	00:32:19	0	0.1000	1.9141100960040311	2.0029778480529785	0.7295	0.733	0.7312
11	00:34:47	1	0.1000	1.8652527443859555	2.055877685546875	0.7129	0.7482	0.7301
12	00:37:13	2	0.1000	1.799199917010211	2.0501372814178467	0.7086	0.7533	0.7303
13	00:41:51	0	0.1000	1.7714223226276014	1.9497287273406982	0.751	0.7165	0.7333
14	00:48:25	0	0.1000	1.7299853944997174	2.0221054553985596	0.7207	0.7496	0.7349
15	00:54:55	0	0.1000	1.686591669506983	2.033897638320923	0.7423	0.7399	0.7411
16	01:01:21	1	0.1000	1.653711352873286	2.079834222793579	0.7576	0.713	0.7346
17	01:04:46	0	0.1000	1.598841080971814	2.0587270259857178	0.7377	0.7489	0.7433
18	01:07:10	0	0.1000	1.5775431678382628	2.0303454399108887	0.7431	0.7588	0.7509
19	01:09:37	1	0.1000	1.5481461353258255	2.1184563636779785	0.7901	0.6955	0.7398
20	01:12:05	2	0.1000	1.4988471453342962	2.076557159423828	0.7452	0.7268	0.7359
21	01:14:32	0	0.1000	1.4807209263700958	2.0716090202331543	0.7472	0.7618	0.7544
22	01:17:01	1	0.1000	1.4474619887290745	2.1726694107055664	0.7798	0.7068	0.7415
23	01:19:27	2	0.1000	1.4465376029320813	2.0885205268859863	0.7451	0.7392	0.7421
24	01:21:51	3	0.1000	1.4093859916433282	2.06986141204834	0.7603	0.7328	0.7463
25	01:24:12	4	0.1000	1.3974305677851406	2.1395151615142822	0.7849	0.7213	0.7518
26	01:26:36	0	0.0500	1.2808070555739446	2.149256944656372	0.7624	0.7519	0.7571
27	01:29:01	1	0.0500	1.2163657539481416	2.1509385108947754	0.7677	0.7376	0.7523
28	01:31:24	2	0.0500	1.1841026766584555	2.1183202266693115	0.7548	0.7487	0.7517
29	01:33:51	3	0.0500	1.1681590058934799	2.1225013732910156	0.7521	0.7556	0.7538
30	01:37:42	4	0.0500	1.163028167092472	2.1232757568359375	0.7603	0.7519	0.7561
31	01:43:04	0	0.0250	1.0947132892564897	2.1438865661621094	0.7753	0.745	0.7598
32	01:48:21	1	0.0250	1.0775912558266876	2.187795877456665	0.7777	0.7415	0.7592
33	01:53:42	2	0.0250	1.0534668709706823	2.2120046615600586	0.7684	0.7409	0.7544
34	01:59:02	3	0.0250	1.0499930517935971	2.1726391315460205	0.7711	0.7473	0.759
35	02:04:27	4	0.0250	1.0102716364444944	2.1699182987213135	0.7726	0.7367	0.7542
36	02:09:48	1	0.0125	1.0021025130508143	2.1595876216888428	0.7651	0.7445	0.7547
37	02:15:11	2	0.0125	1.0032789852094213	2.174191951751709	0.7655	0.7459	0.7556
38	02:20:33	3	0.0125	1.0019877205201244	2.1861701011657715	0.7702	0.7411	0.7554
39	02:25:54	4	0.0125	0.9951573787479225	2.2053208351135254	0.7708	0.7425	0.7564
40	02:31:16	1	0.0063	0.9735387997889737	2.210202932357788	0.7683	0.7455	0.7567
41	02:36:42	2	0.0063	0.9418513461537318	2.2128055095672607	0.7669	0.7452	0.7559
42	02:41:58	3	0.0063	0.9539951907932211	2.2374820709228516	0.7691	0.7427	0.7557
43	02:47:19	4	0.0063	0.959754485055941	2.2137529850006104	0.7696	0.7503	0.7598
44	02:52:44	1	0.0031	0.9440872035988974	2.2269856929779053	0.7717	0.7436	0.7574
45	02:58:07	2	0.0031	0.9466951723492474	2.2284128665924072	0.7695	0.7438	0.7564
46	03:03:26	3	0.0031	0.9225611875910278	2.218923807144165	0.7705	0.7427	0.7563
47	03:08:48	4	0.0031	0.9304907251935486	2.2117533683776855	0.7696	0.7448	0.757
48	03:14:04	1	0.0016	0.901497700837774	2.217874765396118	0.7699	0.7422	0.7558
49	03:19:18	2	0.0016	0.9389569645627923	2.221421480178833	0.769	0.7461	0.7574
50	03:24:36	3	0.0016	0.9400884100056569	2.216965675354004	0.7692	0.745	0.7569
51	03:29:57	4	0.0016	0.9397988174486598	2.2213799953460693	0.7704	0.7436	0.7568
52	03:35:20	1	0.0008	0.9241469339493218	2.223968267440796	0.769	0.7448	0.7567
53	03:40:42	2	0.0008	0.9492571537647773	2.2223732471466064	0.7677	0.7448	0.7561
54	03:46:07	3	0.0008	0.9315254476639109	2.224670886993408	0.7697	0.7468	0.7581
55	03:51:00	4	0.0008	0.9249752920701964	2.2253897190093994	0.7707	0.7473	0.7588
56	03:53:22	1	0.0004	0.9160922024228157	2.225517988204956	0.7707	0.7466	0.7585
57	03:55:46	2	0.0004	0.935399577595772	2.2240231037139893	0.7704	0.7461	0.7581
58	03:58:11	3	0.0004	0.9030531007488933	2.2244722843170166	0.77	0.7466	0.7581
59	04:00:35	4	0.0004	0.9405634453537267	2.2246103286743164	0.7695	0.7459	0.7575
60	04:02:59	1	0.0002	0.9119782338995452	2.2247977256774902	0.7696	0.7464	0.7578
61	04:05:26	2	0.0002	0.9223590824035329	2.225679874420166	0.7699	0.7464	0.758
62	04:07:53	3	0.0002	0.9174208832443307	2.225404977798462	0.7699	0.7464	0.758
63	04:10:14	4	0.0002	0.9242244129880852	2.225637197494507	0.7696	0.7464	0.7578
